Wall time,Step,Value
1764559032.0242767,4579,557937.3125
1764559032.1852186,4582,622269.4375
1764559034.921627,4629,580610.25
1764559036.860463,4665,554519.125
1764559037.0758405,4669,574545.8125
1764559037.5133755,4677,602191.5
1764559039.5155103,4714,568147.75
1764559039.7880774,4719,571430.0
1764559041.515772,4751,627999.875
1764559041.9457254,4759,540825.1875
1764559043.549935,4789,630293.0625
1764559044.4025156,4801,643133.75
1764559044.5117793,4803,615943.625
1764559046.5439293,4841,597064.625
1764559047.1865528,4853,589647.4375
1764559049.4802053,4895,554950.375
1764559053.1315656,4963,611339.3125
1764559053.6137764,4972,615399.25
1764559053.7760963,4975,588194.625
1764559058.1003153,5051,596994.0
1764559058.2087374,5053,581468.75
1764559058.2630181,5054,698542.8125
1764559061.1353023,5107,563868.5
1764559062.6558456,5135,552546.4375
1764559066.4981668,5201,595357.625
1764559068.6241128,5240,538846.0625
1764559073.5408583,5330,541488.125
1764559074.4154716,5346,684674.25
1764559075.1785758,5360,567473.0625
1764559078.6914828,5421,576284.375
1764559079.8847954,5443,530683.625
1764559083.8546848,5516,528958.0
1764559083.9631736,5518,541609.5
1764559085.688947,5550,571534.75
1764559087.1360583,5574,545060.8125
1764559087.9001806,5588,562358.5
1764559090.463921,5631,541769.625
1764559092.0907426,5661,657414.8125
1764559092.3102486,5665,653057.5625
1764559093.12368,5680,561250.3125
1764559095.3562872,5721,580355.1875
1764559095.5208907,5724,553220.0625
1764559098.406869,5777,566738.125
1764559100.3808897,5809,590552.5
1764559101.3007107,5826,566847.75
1764559101.4625459,5829,587622.0
1764559103.3119497,5863,550997.125
1764559103.4197397,5865,529975.3125
1764559103.798357,5872,535293.8125
1764559105.7443922,5908,609571.625
1764559106.8876288,5929,585465.625
1764559108.1942008,5953,609296.5625
1764559108.4651492,5958,575720.5
1764559108.7921526,5964,570676.0625
1764559110.2581084,5991,534441.3125
1764559111.5561492,6011,551645.6875
1764559111.8285275,6016,606574.5
1764559112.6441708,6031,553128.125
1764559112.9158397,6036,587132.0
1764559115.235622,6079,573080.0
1764559117.545464,6122,534902.8125
1764559118.0915642,6132,553113.8125
1764559120.829127,6182,552411.5
1764559122.1112914,6201,573140.125
1764559122.8169177,6214,528622.6875
1764559123.1407351,6220,581927.1875
1764559123.8435965,6233,591782.375
1764559126.9339368,6290,533237.5
1764559128.174848,6313,522043.15625
1764559128.4443867,6318,587356.125
1764559129.7464893,6342,538468.1875
1764559130.932263,6364,556885.25
1764559131.641829,6377,608025.0
1764559133.1627808,6401,577213.625
1764559138.4452894,6497,647062.25
1764559138.6632755,6501,588026.9375
1764559139.756705,6521,572870.0
1764559142.7016397,6575,530063.25
1764559143.24588,6585,560360.4375
1764559144.487345,6604,576619.0625
1764559147.4006457,6658,549735.9375
1764559147.8843381,6667,557302.9375
1764559148.5299711,6679,511894.65625
1764559148.691221,6682,622047.25
1764559149.6356606,6697,533771.5
1764559149.7966902,6700,556022.5
1764559150.4438434,6712,558316.5
1764559151.8954825,6739,512869.625
1764559152.1103146,6743,599178.4375
1764559152.7008364,6754,523967.78125
1764559157.1793306,6833,582627.875
1764559157.9313748,6847,716922.875
1764559158.361521,6855,585176.9375
1764559159.1811361,6870,564494.625
1764559162.7116868,6935,517311.59375
1764559164.455581,6967,568542.5
1764559165.877442,6993,526198.875
1764559167.3025386,7015,526360.75
1764559172.3075063,7107,554554.6875
1764559172.7411282,7115,595662.875
1764559173.9968865,7138,538475.25
1764559174.9811046,7156,515995.5625
1764559178.519287,7217,560482.875
1764559180.2020383,7248,565092.875
1764559183.0911303,7301,560069.3125
1764559183.687606,7312,512801.65625
1764559184.6657858,7330,546952.375
1764559185.207059,7340,597649.625
1764559185.2606537,7341,533401.375
1764559186.2976243,7360,535423.125
1764559187.5400033,7383,563562.5625
1764559188.7867234,7402,555608.625
1764559190.9128022,7441,658676.5
1764559191.0752122,7444,584672.75
1764559191.4530084,7451,546031.125
1764559191.9921527,7461,554553.1875
1764559192.15434,7464,604297.0625
1764559192.97094,7479,550122.5
1764559194.7703593,7512,539108.8125
1764559195.7970822,7531,555637.4375
1764559200.310775,7610,506031.90625
1764559202.2248557,7645,560921.0625
1764559203.1466057,7662,523838.53125
1764559203.9645085,7677,512537.40625
1764559204.5647907,7688,539267.0
1764559204.8907776,7694,554475.3125
1764559206.2443554,7719,565928.6875
1764559206.7870815,7729,519873.8125
1764559207.7626488,7747,503121.375
1764559208.5245821,7761,566577.125
1764559209.6085622,7781,506563.9375
1764559210.0419614,7789,553353.4375
1764559210.7197428,7799,559738.8125
1764559212.8528147,7834,514934.3125
1764559213.126526,7839,554193.75
1764559216.447438,7900,530011.3125
1764559216.5015259,7901,536283.5625
1764559218.2421415,7933,525537.875
1764559221.4646945,7992,604812.625
1764559223.574136,8027,586594.25
1764559224.1712642,8038,541503.5625
1764559224.8219512,8050,523047.21875
1764559225.7446914,8067,504078.9375
1764559231.9296973,8181,538773.125
1764559232.1475925,8185,538440.0625
1764559232.9025338,8199,513201.65625
1764559234.030242,8216,482992.875
1764559234.3567746,8222,527781.375
1764559236.652344,8264,500897.5625
1764559237.5171528,8280,542836.625
1764559238.1163926,8291,569897.625
1764559240.1207979,8328,499828.0
1764559240.3912628,8333,593909.5625
1764559240.4989202,8335,568286.9375
1764559240.820735,8341,552805.1875
1764559242.067825,8364,569902.0
1764559242.3392103,8369,538533.25
1764559242.8227324,8378,550164.25
1764559247.90197,8468,534612.625
1764559248.0634787,8471,490293.8125
1764559249.5786238,8499,529131.125
1764559249.8466568,8504,534105.25
1764559250.1164389,8509,613528.5
1764559253.2464514,8567,541774.375
1764559254.6692882,8593,542528.5
1764559255.4033973,8602,506355.59375
1764559257.179303,8635,493289.5625
1764559257.232679,8636,602025.0625
1764559257.7228904,8645,505288.8125
1764559259.7709332,8683,556475.5
1764559260.220029,8691,511792.625
1764559260.4895403,8696,522891.1875
1764559264.7411883,8775,525790.75
1764559266.4053104,8802,473533.5625
1764559267.3734722,8820,522280.4375
1764559267.5356777,8823,587394.75
1764559268.6645935,8844,561664.3125
1764559269.2613003,8855,537334.0625
1764559270.5535326,8879,531777.375
1764559270.9306557,8886,518516.25
1764559271.8458533,8903,570784.875
1764559271.9535825,8905,486047.6875
1764559272.1156023,8908,568922.875
1764559273.3784666,8929,532903.125
1764559273.7549777,8936,509467.5625
1764559274.9881809,8959,543894.8125
1764559275.9013796,8976,560122.25
1764559276.8788617,8994,493996.9375
1764559277.2020535,9000,569791.875
1764559277.9509377,9010,559294.25
1764559278.97148,9029,488147.5
1764559280.4231386,9056,541840.5
1764559280.850534,9064,560900.25
1764559281.9757602,9085,503126.65625
1764559285.8104637,9156,568342.625
1764559289.8410432,9227,537133.9375
1764559290.2196248,9234,544539.3125
1764559291.66925,9261,503089.5
1764559292.8060925,9282,518795.75
1764559294.206042,9308,684835.5
1764559294.6880229,9317,524100.6875
1764559296.407586,9349,579064.125
1764559297.5319846,9370,525486.6875
1764559300.0930426,9413,530153.3125
1764559300.2552743,9416,512674.3125
1764559301.3354733,9436,535082.125
1764559301.7078118,9443,548151.125
1764559303.0982718,9469,508554.4375
1764559306.8671231,9539,564798.875
1764559307.3515441,9548,512959.25
1764559307.7234995,9555,501188.90625
1764559308.4226716,9568,521885.5
1764559309.5941157,9590,521811.1875
1764559310.3912668,9601,521163.5
1764559311.8344004,9628,519656.09375
1764559313.110569,9652,511053.5625
1764559313.4300244,9658,539176.125
1764559314.6641328,9681,544626.8125
1764559315.6278472,9699,505037.625
1764559319.3750849,9769,519452.65625
1764559321.9416156,9813,520261.8125
1764559323.4479792,9841,537661.125
1764559323.6095555,9844,492466.75
1764559325.761306,9884,526768.875
1764559327.0479126,9908,589727.0625
1764559330.5592875,9973,489942.9375
1764559335.1013386,10051,511258.40625
1764559335.368835,10056,497679.0625
1764559335.5291128,10059,482460.46875
1764559336.9442198,10085,487300.28125
1764559338.1787412,10108,564418.375
1764559338.50209,10114,507148.9375
1764559339.3127515,10129,493705.3125
1764559340.1722915,10145,550413.0625
1764559341.4670818,10169,537928.8125
1764559342.3857157,10186,569087.375
1764559346.410424,10257,488390.84375
1764559347.4866164,10277,542890.25
1764559347.8658502,10284,493920.46875
1764559348.135977,10289,504253.53125
1764559353.9585047,10397,520020.9375
1764559354.1209269,10400,482159.75
1764559355.463166,10421,566467.9375
1764559355.7318325,10426,540245.375
1764559358.0396075,10469,479534.4375
1764559358.6336896,10480,681063.8125
1764559359.1715093,10490,566363.875
1764559359.3866785,10494,483893.125
1764559360.9463887,10523,496087.0625
1764559361.428953,10532,519148.28125
1764559362.674825,10555,537799.875
1764559362.7290454,10556,532676.375
1764559365.052267,10599,544940.0
1764559365.7887177,10608,539819.8125
1764559366.7010903,10625,520472.6875
1764559366.9696825,10630,495719.53125
1764559367.454331,10639,521785.6875
1764559367.8858325,10647,495459.6875
1764559368.3161218,10655,501847.875
1764559369.2349923,10672,494395.21875
1764559371.388859,10712,529989.625
1764559373.387356,10749,558076.125
1764559373.8724678,10758,558325.125
1764559373.9257686,10759,494353.53125
1764559375.1130931,10781,526150.5
1764559375.4902554,10788,571117.125
1764559377.2618809,10816,468727.5
1764559377.7973518,10826,529592.6875
1764559378.063821,10831,510691.4375
1764559378.6544135,10842,547447.5
1764559379.1376455,10851,521737.28125
1764559379.88777,10865,517724.84375
1764559381.9224148,10903,515290.0625
1764559382.0869823,10906,530729.0
1764559383.9221284,10940,491321.25
1764559384.137938,10944,496100.75
1764559385.375352,10967,534063.125
1764559385.6971865,10973,512544.6875
1764559385.8043344,10975,481584.875
1764559388.2024171,11015,497811.625
1764559388.5274491,11021,472503.0
1764559388.6360493,11023,496128.75
1764559389.2324743,11034,515798.75
1764559389.5003893,11039,486884.59375
1764559390.2591693,11053,500097.5
1764559390.7486932,11062,500261.0625
1764559391.6119153,11078,492555.5625
1764559392.9547596,11103,490540.15625
1764559393.981522,11122,491636.125
1764559394.469227,11131,533623.375
1764559395.578637,11149,511886.0625
1764559397.0337064,11176,514920.25
1764559398.2705307,11199,551520.125
1764559398.5895593,11201,480618.5
1764559398.6444693,11202,491876.0625
1764559401.8454878,11261,508948.71875
1764559402.0067706,11264,829503.8125
1764559402.4905183,11273,521071.75
1764559404.5381799,11311,493597.625
1764559407.2850668,11362,499208.15625
1764559410.6206846,11420,497194.28125
1764559412.5744119,11456,468805.3125
1764559413.4926608,11473,530446.5
1764559414.573063,11493,521938.75
1764559416.0849657,11521,496328.65625
1764559416.2564678,11524,498130.78125
1764559416.7511308,11533,494467.03125
1764559417.6672587,11550,574042.875
1764559418.0973485,11558,521667.15625
1764559418.5788286,11567,479292.0625
1764559420.2504938,11598,517928.8125
1764559422.574419,11637,496685.03125
1764559423.225466,11649,500920.1875
1764559423.876921,11661,492340.75
1764559424.4753954,11672,494592.6875
1764559425.2326188,11686,515833.0
1764559425.3407884,11688,498405.15625
1764559427.2780147,11724,555381.1875
1764559429.227037,11760,513779.34375
1764559430.682826,11787,500661.125
1764559431.7056608,11802,494432.625
1764559433.3398576,11832,475951.46875
1764559434.637665,11856,492635.8125
1764559435.608859,11874,486903.25
1764559438.869464,11934,516450.25
1764559439.5713506,11947,463597.3125
1764559439.678942,11949,505443.15625
1764559440.8154922,11970,574088.1875
1764559441.085302,11975,541591.3125
1764559441.8428073,11989,503030.0625
1764559442.3805883,11999,522158.6875
1764559442.8614376,12004,552181.6875
1764559443.239642,12011,544316.8125
1764559444.2664165,12030,474857.4375
1764559444.9176555,12042,496835.0
1764559450.177479,12139,546016.0
1764559450.9906883,12154,531821.625
1764559451.5855823,12165,548594.5625
1764559451.802065,12169,534260.125
1764559452.668577,12185,519832.65625
1764559454.6660416,12218,544734.5
1764559455.1509147,12227,500741.21875
1764559458.7582378,12291,555241.9375
1764559458.9216876,12294,659820.625
